,DS_PS_in(%),VS_PS_in(%),DS_WS_in(%),VS_WS_in(%),DS_Digester(%),DS_eff(%),VS_eff(%),ALK(mg CaCO3/L),FA(mg/L),pH,T(°C),Q_PS/Q_WS,Q_PS_in(m³/d),Q_WS_in(m³/d),Q_Total(m³/d),Q_eff(m³/d),Q_Biogas(Nm³/d),Pre_DS_eff(%)
2014-03-01,5.205,71.726,5.025,77.69399999999999,3.4730000000000003,3.42,63.57,14531.233333333334,1216.8,7.270999999999999,39.97,0.9891304347826086,1080.0,1092.0,2172.0,1560.0,48336.0,3.39609
2014-03-02,5.545,69.7,4.85,77.72,3.47,3.39,63.37,14283.633333333335,1204.8,7.254,39.88,0.9782608695652174,1080.0,1104.0,2184.0,1608.0,50688.0,3.3831828
2014-03-03,4.935,73.59700000000001,6.465,77.675,3.464,3.42,63.98,15214.0,984.0,7.261999999999999,40.1,0.9782608695652174,1080.0,1104.0,2184.0,1608.0,39144.0,3.450659
2014-03-04,4.885,73.45,6.4,77.83,3.496,3.535,62.93,12668.499999999998,966.0,7.279999999999999,40.1,1.0465116279069768,1080.0,1032.0,2112.0,1536.0,35520.0,3.4588459
2014-03-05,4.5600000000000005,74.917,6.08,78.41499999999999,3.526,3.44,63.82,14436.5,1270.8,7.274000000000001,40.38,1.0714285714285714,1080.0,1008.0,2088.0,1488.0,42168.0,3.4730515
2014-03-06,5.35,68.15,5.225,77.64,3.5200000000000005,3.46,63.91,14220.4,1262.8,7.274000000000001,40.38,1.0227272727272727,1080.0,1056.0,2136.0,1560.0,41112.0,3.3978343
2014-03-07,5.39,74.873,5.66,78.907,3.528,3.55,63.88,14754.966666666669,1224.4,7.274000000000001,40.36,0.9574468085106383,1080.0,1128.0,2208.0,1632.0,42912.0,3.4503205
2014-03-08,5.53,74.804,6.33,77.89,3.532,3.505,63.1,16356.0,912.0,7.264,39.74,0.9782608695652174,1080.0,1104.0,2184.0,1608.0,48216.0,3.4588459
2014-03-09,5.055,69.48,6.165,77.3,3.532,3.465,63.28,14074.06666666667,1150.0666666666666,7.109999999999999,39.74,1.0227272727272727,1080.0,1056.0,2136.0,1536.0,38952.0,3.4730515
2014-03-10,5.16,75.51700000000001,6.23,78.965,3.528,3.56,63.66,15848.0,1104.0,7.108,40.0,0.92,1104.0,1200.0,2304.0,1704.0,43056.0,3.467474
2014-03-11,5.125,71.67,5.93,77.76,3.54,3.53,63.34,14220.4,1262.8,7.109999999999999,40.0,0.9019607843137256,1104.0,1224.0,2328.0,1680.0,41112.0,3.4730515
2014-03-12,4.715,75.112,5.545,78.625,3.532,3.6,63.89,13890.933333333334,1155.2,7.114,40.1,1.0454545454545454,1104.0,1056.0,2160.0,1632.0,48648.0,3.4503205
2014-03-13,6.02,62.94,5.57,77.11,3.54,3.55,63.33,14283.633333333331,1204.8,7.116,40.1,1.1219512195121952,1104.0,984.0,2088.0,1560.0,51192.0,3.4481962
2014-03-14,6.23,74.37800000000001,6.109999999999999,77.683,3.54,3.565,63.86,14283.633333333335,1204.8,7.118,40.1,1.1794871794871795,1104.0,936.0,2040.0,1608.0,50184.0,3.4696765
2014-03-15,5.245,74.15900000000002,6.195,77.683,3.612000000000001,3.67,63.26,16644.0,1272.0,7.009999999999999,38.333333333333336,1.3055555555555556,1128.0,864.0,1992.0,1536.0,50136.0,3.4655893
2014-03-16,4.99,71.29,5.97,76.82,3.62,3.6,63.16,15720.8,1210.0,7.001666666666666,38.66666666666666,1.1538461538461535,1080.0,936.0,2016.0,1632.0,57048.0,3.4730515
2014-03-17,5.115,72.646,5.94,77.799,3.552,3.595,63.25,14466.0,1224.0,7.023333333333333,40.16666666666666,1.0,1032.0,1032.0,2064.0,1848.0,50688.0,3.4730515
2014-03-18,4.675000000000001,73.01,5.7,77.92,3.54,3.585,63.59,13721.366666666665,1194.4,6.928333333333334,40.66666666666666,1.0238095238095235,1032.0,1008.0,2040.0,1584.0,34200.0,3.4503205
2014-03-19,5.275,74.11099999999999,5.965,78.40299999999999,3.316,3.58,63.47,13251.8,1099.8,6.908333333333332,40.833333333333336,1.0476190476190477,1056.0,1008.0,2064.0,1464.0,31584.0,3.394607
2014-03-20,5.125,68.06,5.645,77.65,3.38,3.59,63.3,13619.7,1182.4,6.838333333333334,40.66666666666666,1.0714285714285714,1080.0,1008.0,2088.0,1416.0,33792.0,3.3748705
2014-03-21,5.27,75.049,5.275,78.316,3.4200000000000004,3.63,63.9,13756.1,1211.6,6.760000000000001,41.16666666666666,1.1891891891891893,1056.0,888.0,1944.0,1464.0,29544.0,3.402744
2014-03-22,4.82,71.748,5.125,77.693,3.434,3.365,62.91,16046.0,1200.0,6.883333333333333,41.16666666666666,1.1944444444444444,1032.0,864.0,1896.0,1584.0,46920.0,3.3715825
2014-03-23,4.445,74.59,4.78,78.12,3.4400000000000004,3.355,63.52,13110.666666666666,964.0,7.030000000000001,41.0,1.2222222222222223,1056.0,864.0,1920.0,1776.0,37656.0,3.356187
2014-03-24,4.4325,76.16499999999999,4.93,79.015,3.362,3.3325,63.870000000000005,13470.266666666666,1050.5,7.106666666666667,41.08333333333333,1.2673611111111112,1032.0,816.0,1848.0,1704.0,34212.0,3.297583
2014-03-25,4.42,77.74,5.08,79.91,3.2840000000000003,3.31,64.22,13829.866666666669,1137.0,7.183333333333333,41.16666666666666,1.3125,1008.0,768.0,1776.0,1632.0,30768.0,3.2081218
2014-03-26,4.195,75.072,5.285,78.17999999999999,3.322,3.39,64.23,13826.133333333331,1204.8,7.166666666666668,41.0,1.2222222222222223,1056.0,864.0,1920.0,1776.0,31416.0,3.3433073
2014-03-27,4.550000000000001,79.97,5.325,79.55,3.322,3.265,64.89,13873.3,1176.8,6.973333333333334,41.16666666666666,1.1714285714285717,984.0,840.0,1824.0,1752.0,31080.0,3.292796
2014-03-28,5.385,74.73499999999999,5.654999999999999,78.196,3.406,3.27,65.09,14008.366666666665,1246.8,6.685,40.833333333333336,1.3225806451612905,984.0,744.0,1728.0,1608.0,29808.0,3.2967784
2014-03-29,4.325,75.249,5.654999999999999,78.601,3.406,3.185,65.08,16378.0,1032.0,6.898333333333333,40.833333333333336,1.3225806451612905,984.0,744.0,1728.0,1728.0,32208.0,3.2866623
2014-03-30,4.5275,74.77974999999999,5.71875,78.39075,3.4085,3.19875,64.91499999999999,15805.925,1059.9,6.9982500000000005,40.620000000000005,1.290546594982079,996.0,774.0,1770.0,1824.0,31188.0,3.3317213
2014-03-31,4.73,74.31049999999999,5.7825,78.1805,3.4110000000000005,3.2125000000000004,64.75,15233.85,1087.8,7.098166666666667,40.406666666666666,1.2585125448028673,1008.0,804.0,1812.0,1920.0,30168.0,3.3638344
2014-04-01,4.9325,73.84125,5.8462499999999995,77.97025000000001,3.4135000000000004,3.2262500000000003,64.58500000000001,14661.775000000001,1115.6999999999998,7.198083333333333,40.19333333333333,1.226478494623656,1020.0,834.0,1854.0,2016.0,29148.0,3.3638344
2014-04-02,5.135,73.372,5.91,77.76,3.4160000000000004,3.24,64.42,14089.7,1143.6,7.298,39.98,1.1944444444444444,1032.0,864.0,1896.0,2112.0,28128.0,3.4314597
2014-04-03,5.76,77.89,6.02,79.36,3.4440000000000004,3.28,64.23,14395.7,1264.4,7.295999999999999,39.98,1.6666666666666667,960.0,576.0,1536.0,1416.0,42024.0,3.206572
2014-04-04,4.925000000000001,73.93199999999999,6.34,78.29,3.4840000000000004,3.15,64.78,13595.666666666666,1158.0,7.287999999999999,40.0,1.68,1008.0,600.0,1608.0,1512.0,33432.0,3.207531
2014-04-05,5.0,75.416,5.795,78.86799999999998,3.504,3.125,64.99,15652.0,984.0,7.278,40.0,1.4285714285714286,960.0,672.0,1632.0,1632.0,34368.0,3.1741514
2014-04-06,4.195,78.27,5.88,80.3,3.3839999999999995,3.21,64.29,13131.166666666668,1054.0,7.331999999999999,40.1,1.3333333333333333,960.0,720.0,1680.0,1632.0,27816.0,3.1861937
2014-04-07,4.85,74.82899999999998,6.2,78.602,3.276,3.205,64.27,14808.0,960.0,7.322,40.1,1.2857142857142858,864.0,672.0,1536.0,1440.0,28512.0,3.2045772
2014-04-08,4.484999999999999,76.44,6.145,79.93,3.252,3.215,64.25,12851.266666666666,981.4,7.282000000000001,39.940000000000005,1.4285714285714286,960.0,672.0,1632.0,1536.0,26592.0,3.209253
2014-04-09,4.805,74.599,6.03,78.4,3.214,3.33,63.55,12747.5,975.0,7.282000000000001,39.940000000000005,1.6153846153846154,1008.0,624.0,1632.0,1560.0,26712.0,3.1942651
2014-04-10,4.725,77.58,5.54,79.32,3.26,3.17,64.33,13224.833333333334,1070.0,7.272,39.940000000000005,1.4666666666666666,1056.0,720.0,1776.0,1584.0,27576.0,3.2541637
2014-04-11,4.875,75.174,5.375,78.279,3.304,3.1950000000000003,64.25,13718.133333333335,1157.8,7.245999999999999,40.22,1.4666666666666666,1056.0,720.0,1776.0,1488.0,31080.0,3.2372017
2014-04-12,4.73,75.266,5.495,78.727,3.342,3.225,64.76,16230.0,1584.0,7.237999999999999,40.0,1.5357142857142858,1032.0,672.0,1704.0,1512.0,30336.0,3.2088842
2014-04-13,4.234999999999999,77.05,6.315,79.27,3.3240000000000003,3.155,63.9,14008.366666666665,1246.8,7.236,39.9,1.5555555555555556,1008.0,648.0,1656.0,1560.0,29856.0,3.2180212
2014-04-14,4.66,75.153,5.97,78.151,3.3160000000000003,3.285,64.99,15312.0,1560.0,7.339999999999999,39.92,1.3548387096774193,1008.0,744.0,1752.0,1632.0,31008.0,3.3137476
2014-04-15,4.47,70.85,5.85,79.59,3.282,3.185,64.59,13595.666666666666,1158.0,7.448,40.0,1.4666666666666666,1056.0,720.0,1776.0,1368.0,33240.0,3.2689133
2014-04-16,4.495,74.278,5.43,78.3,3.252,3.265,64.98,13840.833333333332,1192.0,7.454000000000001,39.96,1.3548387096774193,1008.0,744.0,1752.0,1536.0,33072.0,3.25283
2014-04-17,4.43,73.77,6.029999999999999,79.76,3.286,3.22,64.74,13737.166666666668,1176.0,7.433999999999999,39.9,1.3333333333333333,1056.0,792.0,1848.0,2016.0,33360.0,3.2775993
2014-04-18,4.705,72.906,4.965,78.05499999999999,3.326,3.25,64.89,14443.466666666665,1266.8,7.442,39.9,1.2222222222222223,1056.0,864.0,1920.0,2064.0,30888.0,3.3151417
2014-04-19,6.5,74.35499999999999,5.755,78.24199999999999,3.358,3.265,64.8,15556.0,1128.0,7.438000000000001,40.04,1.5172413793103448,1056.0,696.0,1752.0,1968.0,31320.0,3.2959616
2014-04-20,5.375,73.3605,5.609999999999999,78.0395,3.402,3.2725,64.64,15351.0,1248.0,7.438000000000001,40.019999999999996,1.4252873563218391,1056.0,744.0,1800.0,2148.0,29940.0,3.3465183
